tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,genres,averageRating,numVotes,sortedTitle
tt1954701,movie,A Coffee in Berlin,Oh Boy,0,2012,\N,Comedy Drama,7.4,14681,A Coffee in Berlin (2012)
tt2371486,movie,A Company Man,Hoi-sa-won,0,2012,\N,Action Drama,6.7,5009,A Company Man (2012)
tt9131050,tvMiniSeries,A Confession,A Confession,0,2019,\N,Biography Crime Drama,7.5,4240,A Confession (2019– )
tt0067900,movie,A Cop,Un flic,0,1972,\N,Crime Thriller,7.1,7777,A Cop (1972)
tt0090368,movie,A Cruel Romance,Zhestokiy romans,0,1984,\N,Drama History Romance,8.0,3140,A Cruel Romance (1984)
tt0094924,movie,A Cry in the Dark,Evil Angels,0,1988,\N,Biography Drama,6.9,8959,A Cry in the Dark (1988)
tt1846445,movie,A Cube of Sugar,Ye habe ghand,0,2011,\N,Comedy Drama Family,7.2,3332,A Cube of Sugar (2011)
tt4731136,movie,A Cure for Wellness,A Cure for Wellness,0,2016,\N,Drama Fantasy Horror,6.4,81090,A Cure for Wellness (2016)
tt1571222,movie,A Dangerous Method,A Dangerous Method,0,2011,\N,Biography Drama Romance,6.4,96913,A Dangerous Method (2011)
tt5918074,movie,A Death in the Gunj,A Death in the Gunj,0,2016,\N,Drama Thriller,7.5,3694,A Death in the Gunj (2016)
tt5739680,tvMovie,A December Bride,A December Bride,0,2016,\N,Comedy Romance,6.9,2528,A December Bride (2016– )
tt0092339,tvSeries,A Different World,A Different World,0,1987,1993,Comedy,6.9,5419,A Different World (1987–1993)
tt0821442,movie,A Dirty Carnival,Biyeolhan geori,0,2006,\N,Action Crime Drama,7.4,7735,A Dirty Carnival (2006)
tt2177461,tvSeries,A Discovery of Witches,A Discovery of Witches,0,2018,\N,Drama Fantasy Romance,8.1,23317,A Discovery of Witches (2018– )
tt0796314,movie,A Dog's Breakfast,A Dog's Breakfast,0,2007,\N,Comedy Drama Horror,6.8,3509,A Dog's Breakfast (2007)
tt8385474,movie,A Dog's Journey,A Dog's Journey,0,2019,\N,Adventure Comedy Drama,7.5,16157,A Dog's Journey (2019)
tt1753383,movie,A Dog's Purpose,A Dog's Purpose,0,2017,\N,Adventure Comedy Drama,7.2,62834,A Dog's Purpose (2017)
tt7616798,movie,A Dog's Way Home,A Dog's Way Home,0,2019,\N,Adventure Drama Family,6.7,13125,A Dog's Way Home (2019)
tt0197139,tvMiniSeries,A Dog's Will,O Auto da Compadecida,0,1999,1999,Comedy Drama Western,9.1,3240,A Dog's Will (1999)
tt0271383,movie,A Dog's Will,O Auto da Compadecida,0,2000,\N,Comedy Drama Western,8.6,10903,A Dog's Will (2000)
tt0097243,movie,A Dry White Season,A Dry White Season,0,1989,\N,Drama Thriller,7.0,4873,A Dry White Season (1989)
tt1718924,movie,A Family Man,A Family Man,0,2016,\N,Drama,6.5,9959,A Family Man (2016)
tt0116275,movie,A Family Thing,A Family Thing,0,1996,\N,Comedy Drama,7.0,3131,A Family Thing (1996)
tt5639354,movie,A Fantastic Woman,Una Mujer Fantástica,0,2017,\N,Drama,7.2,21351,A Fantastic Woman (2017)
tt0106868,movie,A Far Off Place,A Far Off Place,0,1993,\N,Adventure Drama Family,6.6,3277,A Far Off Place (1993)
tt0104257,movie,A Few Good Men,A Few Good Men,0,1992,\N,Drama Thriller,7.7,227716,A Few Good Men (1992)
tt1139319,movie,A Film with Me in It,A Film with Me in It,0,2008,\N,Comedy Thriller,6.7,3637,A Film with Me in It (2008)
tt0095159,movie,A Fish Called Wanda,A Fish Called Wanda,0,1988,\N,Comedy Crime,7.5,128748,A Fish Called Wanda (1988)
tt0058461,movie,A Fistful of Dollars,Per un pugno di dollari,0,1964,\N,Action Drama Western,8.0,190658,A Fistful of Dollars (1964)
tt0380366,movie,A Fond Kiss,A Fond Kiss,0,2004,\N,Drama Romance,7.1,6566,A Fond Kiss (2004)
tt8436026,movie,A Fortunate Man,Lykke-Per,0,2018,\N,Drama,7.2,4056,A Fortunate Man (2018)
tt0441762,movie,A Friend of Mine,Ein Freund von mir,0,2006,\N,Comedy Drama,6.9,4123,A Friend of Mine (2006)
tt1155053,movie,A Frozen Flower,Ssang-hwa-jeom,0,2008,\N,Drama History Romance,7.1,3641,A Frozen Flower (2008)
tt1706596,movie,A Funny Man,Dirch,0,2011,\N,Biography Drama,6.9,2676,A Funny Man (2011)
tt0060438,movie,A Funny Thing Happened on the Way to the Forum,A Funny Thing Happened on the Way to the Forum,0,1966,\N,Comedy Musical,6.9,8168,A Funny Thing Happened on the Way to the Forum (1966)
tt5566790,movie,A Futile and Stupid Gesture,A Futile and Stupid Gesture,0,2018,\N,Biography Comedy,6.8,12773,A Futile and Stupid Gesture (2018)
tt1741542,movie,A Gang Story,Les Lyonnais,0,2011,\N,Drama Thriller,7.0,7501,A Gang Story (2011)
tt0073036,movie,"A Genius, Two Partners and a Dupe","Un genio, due compari, un pollo",0,1975,\N,Comedy Western,6.4,4776,"A Genius, Two Partners and a Dupe (1975)"
tt6265828,movie,A Ghost Story,A Ghost Story,0,2017,\N,Drama Fantasy Romance,6.9,56565,A Ghost Story (2017)
tt1820742,tvSeries,A Gifted Man,A Gifted Man,0,2011,2012,Drama Fantasy,7.0,7237,A Gifted Man (2011–2012)
tt2523832,movie,A Girl Like Her,A Girl Like Her,0,2015,\N,Drama,7.0,6618,A Girl Like Her (2015)
tt2326554,movie,A Girl Walks Home Alone at Night,A Girl Walks Home Alone at Night,0,2014,\N,Drama Horror,7.0,29653,A Girl Walks Home Alone at Night (2014)
tt0379306,movie,A Good Woman,A Good Woman,0,2004,\N,Comedy Drama Romance,6.5,11231,A Good Woman (2004)
tt0401445,movie,A Good Year,A Good Year,0,2006,\N,Comedy Drama Romance,7.0,86463,A Good Year (2006)
tt0113198,movie,A Goofy Movie,A Goofy Movie,0,1995,\N,Adventure Animation Comedy,6.8,44420,A Goofy Movie (1995)
tt0473488,movie,A Guide to Recognizing Your Saints,A Guide to Recognizing Your Saints,0,2006,\N,Crime Drama,7.0,24639,A Guide to Recognizing Your Saints (2006)
tt1945034,movie,A Gun in Each Hand,Una pistola en cada mano,0,2012,\N,Comedy Drama,6.5,2858,A Gun in Each Hand (2012)
tt1987018,movie,A Happy Event,Un heureux événement,0,2011,\N,Comedy Drama,6.6,4214,A Happy Event (2011)
tt3697626,movie,A Hard Day,Kkeut-kka-ji-gan-da,0,2014,\N,Action Crime Thriller,7.2,10277,A Hard Day (2014)
tt0058182,movie,A Hard Day's Night,A Hard Day's Night,0,1964,\N,Comedy Music Musical,7.6,39111,A Hard Day's Night (1964)
tt0484243,tvSeries,A Haunting,A Haunting,0,2005,2019,Documentary Drama History,8.0,2819,A Haunting (2005–2019)
tt5827916,movie,A Hidden Life,A Hidden Life,0,2019,\N,Biography Drama Romance,7.4,13682,A Hidden Life (2019)
tt2216240,movie,A Hijacking,Kapringen,0,2012,\N,Drama Thriller,7.2,15472,A Hijacking (2012)
tt0399146,movie,A History of Violence,A History of Violence,0,2005,\N,Drama Thriller,7.4,219456,A History of Violence (2005)
tt0359423,movie,A Home at the End of the World,A Home at the End of the World,0,2004,\N,Drama Romance,6.7,13053,A Home at the End of the World (2004)
tt0107130,movie,A Home of Our Own,A Home of Our Own,0,1993,\N,Biography Drama,7.1,2861,A Home of Our Own (1993)
tt0303184,movie,A Kind of America,Valami Amerika,0,2002,\N,Adventure Comedy Romance,6.9,4506,A Kind of America (2002)
tt0183790,movie,A Knight's Tale,A Knight's Tale,0,2001,\N,Action Adventure Romance,6.9,165851,A Knight's Tale (2001)
tt7099334,tvSeries,A Korean Odyssey,Hwayugi,0,2017,2018,Comedy Fantasy Horror,8.1,2599,A Korean Odyssey (2017–2018)
tt1226240,movie,A Late Quartet,A Late Quartet,0,2012,\N,Drama Music,7.1,13601,A Late Quartet (2012)
tt0104694,movie,A League of Their Own,A League of Their Own,0,1992,\N,Comedy Drama Family,7.3,90418,A League of Their Own (1992)
tt1853614,movie,A Letter to Momo,Momo e no tegami,0,2011,\N,Adventure Animation Comedy,7.3,6482,A Letter to Momo (2011)
tt0119535,movie,A Life Less Ordinary,A Life Less Ordinary,0,1997,\N,Comedy Crime Fantasy,6.4,33849,A Life Less Ordinary (1997)
tt2639254,movie,A Little Chaos,A Little Chaos,0,2014,\N,Drama Romance,6.5,19926,A Little Chaos (2014)
tt0113670,movie,A Little Princess,A Little Princess,0,1995,\N,Drama Family Fantasy,7.7,31262,A Little Princess (1995)
tt0079477,movie,A Little Romance,A Little Romance,0,1979,\N,Adventure Comedy Romance,7.5,5123,A Little Romance (1979)
tt1859438,movie,A Little Thing Called Love,Sing lek lek tee reak wa rak,0,2010,\N,Comedy Romance,7.6,4466,A Little Thing Called Love (2010)
tt0067361,movie,A Lizard in a Woman's Skin,Una lucertola con la pelle di donna,0,1971,\N,Mystery Thriller,7.0,4180,A Lizard in a Woman's Skin (1971)
tt2328819,movie,A Long Story,Uzun Hikaye,0,2012,\N,Drama,7.6,5446,A Long Story (2012)
tt0458413,movie,A Long Way Down,A Long Way Down,0,2014,\N,Comedy Drama,6.4,30486,A Long Way Down (2014)
tt0391304,movie,A Lot Like Love,A Lot Like Love,0,2005,\N,Comedy Drama Romance,6.6,66427,A Lot Like Love (2005)
tt0369672,movie,A Love Song for Bobby Long,A Love Song for Bobby Long,0,2004,\N,Drama,7.1,24710,A Love Song for Bobby Long (2004)
tt0444518,tvMovie,A Love to Hide,Un amour à taire,0,2005,\N,Drama Romance War,8.1,2855,A Love to Hide (2005– )
tt2281345,movie,A Magnificent Haunting,Magnifica presenza,0,2012,\N,Comedy Drama Fantasy,6.6,4856,A Magnificent Haunting (2012)
tt9231140,movie,A Man Called Ahok,A Man Called Ahok,0,2018,\N,Biography Drama,8.8,4230,A Man Called Ahok (2018)
tt0066049,movie,A Man Called Horse,A Man Called Horse,0,1970,\N,Adventure Drama Western,6.9,7897,A Man Called Horse (1970)
tt4080728,movie,A Man Called Ove,En man som heter Ove,0,2015,\N,Comedy Drama Romance,7.7,44430,A Man Called Ove (2015)
tt0061138,movie,A Man and a Woman,Un homme et une femme,0,1966,\N,Drama Romance,7.6,9317,A Man and a Woman (1966)
tt0060665,movie,A Man for All Seasons,A Man for All Seasons,0,1966,\N,Biography Drama History,7.7,30271,A Man for All Seasons (1966)
tt0092745,movie,A Man from Boulevard des Capucines,Chelovek s bulvara Kaputsinov,0,1987,\N,Comedy Musical Romance,7.8,2756,A Man from Boulevard des Capucines (1987)
tt0160513,movie,A Map of the World,A Map of the World,0,1999,\N,Drama,6.6,3988,A Map of the World (1999)
tt0102443,movie,A Midnight Clear,A Midnight Clear,0,1992,\N,Drama War,7.1,8056,A Midnight Clear (1992)
tt0140379,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,0,1999,\N,Comedy Fantasy Romance,6.4,24033,A Midsummer Night's Dream (1999)
tt0084329,movie,A Midsummer Night's Sex Comedy,A Midsummer Night's Sex Comedy,0,1982,\N,Comedy,6.6,18039,A Midsummer Night's Sex Comedy (1982)
tt0829459,movie,A Mighty Heart,A Mighty Heart,0,2007,\N,Biography Drama History,6.6,26576,A Mighty Heart (2007)
tt0310281,movie,A Mighty Wind,A Mighty Wind,0,2003,\N,Comedy Music,7.2,25316,A Mighty Wind (2003)
tt7608248,tvSeries,A Million Little Things,A Million Little Things,0,2018,\N,Comedy Drama Mystery,7.9,7380,A Million Little Things (2018– )
tt0757157,movie,A Millionaire's First Love,Baekmanjangja-ui cheot-sarang,0,2006,\N,Comedy Drama Romance,7.3,4817,A Millionaire's First Love (2006)
tt0117214,movie,A Moment of Innocence,Nun va Goldoon,0,1996,\N,Comedy Drama,7.8,3024,A Moment of Innocence (1996)
tt0428870,movie,A Moment to Remember,Nae meorisokui jiwoogae,0,2004,\N,Drama Romance,8.2,21140,A Moment to Remember (2004)
tt3416532,movie,A Monster Calls,A Monster Calls,0,2016,\N,Adventure Drama Family,7.5,78011,A Monster Calls (2016)
tt0961097,movie,A Monster in Paris,Un monstre à Paris,0,2011,\N,Adventure Animation Comedy,6.7,19022,A Monster in Paris (2011)
tt2937898,movie,A Most Violent Year,A Most Violent Year,0,2014,\N,Action Crime Drama,7.0,64525,A Most Violent Year (2014)
tt1972571,movie,A Most Wanted Man,A Most Wanted Man,0,2014,\N,Crime Drama Thriller,6.8,70875,A Most Wanted Man (2014)
tt0251282,tvMovie,A Muppet Family Christmas,A Muppet Family Christmas,0,1987,\N,Comedy Family Musical,8.1,3343,A Muppet Family Christmas (1987– )
tt0133985,movie,A Murder of Crows,A Murder of Crows,0,1998,\N,Action Crime Thriller,6.4,7471,A Murder of Crows (1998)
tt0067482,movie,A New Leaf,A New Leaf,0,1971,\N,Comedy Romance,7.4,4818,A New Leaf (1971)
tt0087800,movie,A Nightmare on Elm Street,A Nightmare on Elm Street,0,1984,\N,Horror,7.5,198798,A Nightmare on Elm Street (1984)
tt0093629,movie,A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street 3: Dream Warriors,0,1987,\N,Fantasy Horror,6.6,68171,A Nightmare on Elm Street 3: Dream Warriors (1987)
tt0072934,movie,A Pain in the Ass,L'emmerdeur,0,1973,\N,Comedy,7.1,2823,A Pain in the Ass (1973)
tt0087892,movie,A Passage to India,A Passage to India,0,1984,\N,Adventure Drama History,7.3,16527,A Passage to India (1984)
tt0059573,movie,A Patch of Blue,A Patch of Blue,0,1965,\N,Drama Romance,8.0,7123,A Patch of Blue (1965)
tt0312859,movie,A Peck on the Cheek,Kannathil Muthamittal,0,2002,\N,Action Drama War,8.4,7068,A Peck on the Cheek (2002)
tt3577624,movie,A Perfect Day,A Perfect Day,0,2015,\N,Comedy Drama War,6.8,19783,A Perfect Day (2015)
tt0971209,movie,A Perfect Getaway,A Perfect Getaway,0,2009,\N,Drama Mystery Thriller,6.5,66306,A Perfect Getaway (2009)
tt4058500,movie,A Perfect Man,Un homme idéal,0,2015,\N,Drama Thriller,6.7,3178,A Perfect Man (2015)
tt0120787,movie,A Perfect Murder,A Perfect Murder,0,1998,\N,Crime Drama Thriller,6.5,77141,A Perfect Murder (1998)
tt0107808,movie,A Perfect World,A Perfect World,0,1993,\N,Crime Drama Thriller,7.6,71862,A Perfect World (1993)
tt1883180,movie,A Pigeon Sat on a Branch Reflecting on Existence,En duva satt på en gren och funderade på tillvaron,0,2014,\N,Comedy Drama Fantasy,7.0,15842,A Pigeon Sat on a Branch Reflecting on Existence (2014)
tt2258904,tvSeries,A Place to Call Home,A Place to Call Home,0,2013,2018,Drama,8.3,3753,A Place to Call Home (2013–2018)
tt0420087,movie,A Prairie Home Companion,A Prairie Home Companion,0,2006,\N,Comedy Drama Music,6.7,21594,A Prairie Home Companion (2006)
tt4080956,movie,A Prayer Before Dawn,A Prayer Before Dawn,0,2017,\N,Biography Crime Drama,6.9,19038,A Prayer Before Dawn (2017)
tt0120793,movie,A Price Above Rubies,A Price Above Rubies,0,1998,\N,Drama Romance,6.5,2584,A Price Above Rubies (1998)
tt1083448,tvMovie,A Princess for Christmas,A Princess for Christmas,0,2011,\N,Comedy Drama Family,6.5,6514,A Princess for Christmas (2011– )
tt2368254,movie,A Private War,A Private War,0,2018,\N,Biography Drama War,6.7,15058,A Private War (2018)
tt1235166,movie,A Prophet,Un prophète,0,2009,\N,Crime Drama,7.9,91650,A Prophet (2009)
tt0094531,tvSeries,A Pup Named Scooby-Doo,A Pup Named Scooby-Doo,0,1988,1991,Animation Comedy Family,6.8,4470,A Pup Named Scooby-Doo (1988–1991)
tt0110917,movie,A Pure Formality,Una pura formalità,0,1994,\N,Crime Drama Thriller,7.7,9865,A Pure Formality (1994)
tt2392830,movie,A Quiet Passion,A Quiet Passion,0,2016,\N,Biography Drama,6.4,5035,A Quiet Passion (2016)
tt6644200,movie,A Quiet Place,A Quiet Place,0,2018,\N,Drama Horror Sci-Fi,7.5,386412,A Quiet Place (2018)
tt0084873,movie,A Railway Station for Two,Vokzal dlya dvoikh,0,1983,\N,Drama Romance,7.8,2768,A Railway Station for Two (1983)
tt7139936,movie,A Rainy Day in New York,A Rainy Day in New York,0,2019,\N,Comedy Romance,6.6,23516,A Rainy Day in New York (2019)
tt0055353,movie,A Raisin in the Sun,A Raisin in the Sun,0,1961,\N,Drama,8.0,6926,A Raisin in the Sun (1961)
tt0105265,movie,A River Runs Through It,A River Runs Through It,0,1992,\N,Drama,7.2,52107,A River Runs Through It (1992)
tt0202559,movie,A Room for Romeo Brass,A Room for Romeo Brass,0,1999,\N,Comedy Drama,7.6,5319,A Room for Romeo Brass (1999)
tt0091867,movie,A Room with a View,A Room with a View,0,1985,\N,Drama Romance,7.3,38256,A Room with a View (1985)
tt1276419,movie,A Royal Affair,En kongelig affære,0,2012,\N,Biography Drama History,7.5,43055,A Royal Affair (2012)
tt2838678,tvMovie,A Royal Christmas,A Royal Christmas,0,2014,\N,Comedy Family Romance,6.6,3735,A Royal Christmas (2014– )
tt1837562,movie,A Royal Night Out,A Royal Night Out,0,2015,\N,Comedy Drama Romance,6.5,8993,A Royal Night Out (2015)
tt0254463,movie,A Run for Money,Kaç Para Kaç,0,1999,\N,Drama,7.6,2970,A Run for Money (1999)
tt0405296,movie,A Scanner Darkly,A Scanner Darkly,0,2006,\N,Animation Crime Drama,7.1,104675,A Scanner Darkly (2006)
tt0103704,movie,A Scene at the Sea,"Ano natsu, ichiban shizukana umi",0,1991,\N,Comedy Drama Romance,7.5,4896,A Scene at the Sea (1991)
tt3305316,movie,A Second Chance,En chance til,0,2014,\N,Drama Thriller,6.8,5494,A Second Chance (2014)
tt0490234,movie,A Secret,Un secret,0,2007,\N,Drama War,6.8,2922,A Secret (2007)
tt3260524,movie,A Secret Love,A Secret Love,0,2020,\N,Documentary,8.0,2519,A Secret Love (2020)
tt0118020,movie,A Self-Made Hero,Un héros très discret,0,1996,\N,Comedy Drama,7.2,2629,A Self-Made Hero (1996)
tt1832382,movie,A Separation,Jodaeiye Nader az Simin,0,2011,\N,Drama,8.3,212508,A Separation (2011)
tt4834206,tvSeries,A Series of Unfortunate Events,A Series of Unfortunate Events,0,2017,2019,Adventure Comedy Drama,7.8,51445,A Series of Unfortunate Events (2017–2019)
tt1019452,movie,A Serious Man,A Serious Man,0,2009,\N,Comedy Drama,7.0,129708,A Serious Man (2009)
tt6193408,movie,A Shaun the Sheep Movie: Farmageddon,A Shaun the Sheep Movie: Farmageddon,0,2019,\N,Adventure Animation Comedy,6.9,7389,A Shaun the Sheep Movie: Farmageddon (2019)
tt0100602,movie,A Shock to the System,A Shock to the System,0,1990,\N,Comedy Crime Thriller,6.7,4082,A Shock to the System (1990)
tt0095468,movie,A Short Film About Killing,Krótki film o zabijaniu,0,1988,\N,Crime Drama,8.1,16381,A Short Film About Killing (1988)
tt0095467,movie,A Short Film About Love,Krótki film o milosci,0,1988,\N,Drama Romance,8.2,18495,A Short Film About Love (1988)
tt0058586,movie,A Shot in the Dark,A Shot in the Dark,0,1964,\N,Comedy Mystery,7.5,25087,A Shot in the Dark (1964)
tt5323662,movie,A Silent Voice: The Movie,Koe no katachi,0,2016,\N,Animation Drama Family,8.2,38949,A Silent Voice: The Movie (2016)
tt7040874,movie,A Simple Favor,A Simple Favor,0,2018,\N,Comedy Crime Drama,6.8,116351,A Simple Favor (2018)
tt2008006,movie,A Simple Life,Tou ze,0,2011,\N,Drama,7.5,5160,A Simple Life (2011)
tt0120324,movie,A Simple Plan,A Simple Plan,0,1998,\N,Crime Drama Thriller,7.5,61693,A Simple Plan (1998)
tt0111194,movie,A Simple Twist of Fate,A Simple Twist of Fate,0,1994,\N,Comedy Drama,6.4,4949,A Simple Twist of Fate (1994)
tt1315981,movie,A Single Man,A Single Man,0,2009,\N,Drama Romance,7.6,103890,A Single Man (2009)
tt3142872,movie,A Small September Affair,Bi Küçük Eylül Meselesi,0,2014,\N,Drama Mystery Romance,7.2,8717,A Small September Affair (2014)
tt0330904,movie,A Snake of June,Rokugatsu no hebi,0,2002,\N,Drama Horror Mystery,6.9,3971,A Snake of June (2002)
tt0088146,movie,A Soldier's Story,A Soldier's Story,0,1984,\N,Crime Drama Mystery,7.2,8539,A Soldier's Story (1984)
tt1386683,movie,A Somewhat Gentle Man,En ganske snill mann,0,2010,\N,Comedy Crime Drama,6.9,6540,A Somewhat Gentle Man (2010)
tt0076085,movie,A Special Day,Una giornata particolare,0,1977,\N,Drama,8.1,11117,A Special Day (1977)
tt1517451,movie,A Star Is Born,A Star Is Born,0,2018,\N,Drama Music Romance,7.7,313666,A Star Is Born (2018)
tt3606888,movie,A Street Cat Named Bob,A Street Cat Named Bob,0,2016,\N,Biography Drama Family,7.3,26094,A Street Cat Named Bob (2016)
tt0204932,movie,A Summer Tale,Den bästa sommaren,0,2000,\N,Comedy Drama Family,7.3,3490,A Summer Tale (2000)
tt0115940,movie,A Summer's Tale,Conte d'été,0,1996,\N,Comedy Drama Romance,7.6,6108,A Summer's Tale (1996)
tt0065955,movie,A Swedish Love Story,En kärlekshistoria,0,1970,\N,Drama Romance,7.4,5835,A Swedish Love Story (1970)
tt0097106,movie,A Tale of Springtime,Conte de printemps,0,1990,\N,Comedy Drama Romance,7.3,3459,A Tale of Springtime (1990)
tt0365376,movie,A Tale of Two Sisters,"Janghwa, Hongryeon",0,2003,\N,Drama Horror Mystery,7.2,54408,A Tale of Two Sisters (2003)
tt0104008,movie,A Tale of Winter,Conte d'hiver,0,1992,\N,Drama,7.3,3868,A Tale of Winter (1992)
tt0055506,movie,A Taste of Honey,A Taste of Honey,0,1961,\N,Drama,7.5,4652,A Taste of Honey (1961)
tt6878038,movie,A Taxi Driver,Taeksi woonjunsa,0,2017,\N,Action Drama History,7.9,13858,A Taxi Driver (2017)
tt0059798,movie,A Thousand Clowns,A Thousand Clowns,0,1965,\N,Comedy Drama Romance,7.4,3087,A Thousand Clowns (1965)
tt0084780,movie,A Tight Spot,Tesna koza,0,1982,\N,Comedy,8.2,2925,A Tight Spot (1982)
